"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2019","29,193.42","29,158.57","29,213.93","29,124.02","","0.15%"
"04/09/2019","29,149.46","29,159.92","29,160.11","28,989.49","","-0.04%"
"04/08/2019","29,162.24","29,616.38","29,620.93","28,780.02","","-1.53%"
"04/05/2019","29,616.38","29,553.12","29,628.40","29,536.48","","0.21%"
"04/04/2019","29,553.12","29,626.14","29,662.09","29,548.65","","-0.39%"
"04/03/2019","29,668.73","30,226.77","30,243.71","29,665.78","","-1.85%"
"04/02/2019","30,226.77","30,527.88","30,712.37","30,212.62","","-0.99%"
"04/01/2019","30,527.50","31,041.42","31,041.42","30,527.50","","-1.66%"
"03/29/2019","31,041.42","30,833.50","31,106.74","30,786.33","","0.67%"
"03/28/2019","30,833.50","30,829.45","30,896.86","30,770.60","","0.01%"
"03/27/2019","30,829.45","31,038.86","31,066.07","30,811.14","","-0.67%"
"03/26/2019","31,038.86","31,042.32","31,094.87","31,007.76","","-0.01%"
"03/25/2019","31,042.32","31,139.35","31,139.35","30,996.82","","-0.31%"
"03/22/2019","31,139.35","30,885.31","31,156.19","30,885.31","","0.82%"
"03/21/2019","30,885.31","31,066.10","31,077.89","30,856.23","","-0.50%"
"03/20/2019","31,040.84","31,082.32","31,104.90","31,015.27","","-0.13%"
"03/19/2019","31,082.32","31,125.39","31,133.59","30,965.22","","-0.14%"
"03/18/2019","31,125.39","31,142.72","31,156.47","31,103.67","","-0.06%"
"03/15/2019","31,142.72","31,175.88","31,265.21","31,102.10","","-0.22%"
"03/14/2019","31,210.79","31,369.91","31,390.78","31,210.79","","-0.48%"
"03/13/2019","31,360.28","31,313.36","31,360.28","31,057.66","","0.15%"
