Date,Price,Open,High,Low,Vol.,Change %,Close
07/15/2022,52215.12,51339.01,52542.93,51330.29,190.1,1.71,139128.7171
07/14/2022,51338.27,51390.25,51390.25,51304.74,115.25,-0.44,28778.54
07/13/2022,51567.69,51557.41,51584.83,51507.55,198.79,0.02,52588.5582
07/08/2022,51557.41,51563.73,51581.17,51546.84,115.13,-0.01,51048.0927
07/07/2022,51563.73,51556.54,51570.71,51530.4,143.28,0.01,52072.1054
07/06/2022,51556.54,51586.5,51612.97,51553.86,135.26,-0.06,48491.31
07/05/2022,51586.5,51795.23,51807.97,51571.37,234.48,-0.4,31077.138
07/04/2022,51791.45,51829.67,51871.89,51713.99,194.08,-0.07,48201.5931
07/01/2022,51829.67,51817.59,51829.67,51769.02,127.03,0.02,52853.9418
06/30/2022,51817.59,51802.48,51991.27,51759.56,223.1,0.03,53356.5544
06/29/2022,51802.48,51803.98,51810.45,51789.9,416.47,0,51803.98
06/28/2022,51803.98,51962.85,51975.06,51779.76,314.6,-0.31,35854.3665
06/27/2022,51962.85,51705.61,51986.94,51703.49,266.51,0.5,77558.415
06/24/2022,51705.61,51618.73,51708.52,51618.73,156.09,0.17,60393.9141
06/23/2022,51618.73,51377.21,51740.21,51375.06,223.25,0.47,75524.4987
06/22/2022,51377.21,51093.23,51377.21,50628.4,229.26,0.56,79705.4388
06/21/2022,51091.75,50755.98,51213.17,50532.29,166.96,0.66,84254.9268
06/20/2022,50756.74,51778.08,51804.21,50750.6,196.26,-1.97,-50224.7376
06/17/2022,51778.08,52411.09,52451.43,51755.18,241.19,-1.21,-11006.3289
06/16/2022,52411.09,52775.4,52783.52,52374.04,211.61,-0.69,16360.374
06/15/2022,52775.4,53113.64,53113.64,52773.2,188.09,-0.64,19120.9104
06/14/2022,53114.65,53201.38,53202.13,53097.77,299.81,-0.16,44689.1592
06/10/2022,53201.38,53170.73,53201.38,53136.98,273.24,0.06,56360.9738
06/09/2022,53170.73,53183.99,53206.08,53166.01,318.42,-0.04,51056.6304
06/08/2022,53193.98,53270.88,53270.88,53190.75,248.94,-0.14,45812.9568
06/07/2022,53270.88,53086.46,53276.66,53046.72,234.62,0.35,71666.721
06/06/2022,53086.86,52908.24,53090.16,52889.13,755.62,0.34,70897.0416
06/03/2022,52908.24,52815.78,52925.86,52803.19,280.87,0.13,59681.8314
06/02/2022,52840.14,52974.15,52989.45,52831.61,274.42,-0.25,39730.6125
06/01/2022,52974.15,52990.28,53045.12,52952.24,295.34,-1.24,-12717.6672
05/31/2022,53637.14,53772.14,53787.3,53608.72,318.27,-0.25,40329.105
05/30/2022,53772.35,54085.3,54085.3,53735.83,227.55,-0.58,22715.826
05/27/2022,54085.3,53151.32,54290.84,53151.32,208.08,1.76,146697.6432
05/26/2022,53151.32,52591.41,53161.43,52587.01,266.18,1.06,108338.3046
05/25/2022,52591.41,51949.64,52594.84,51574.46,382.45,1.24,116367.1936
05/24/2022,51949.64,52911.51,52911.51,51940.57,720.12,-1.82,-43387.4382
05/23/2022,52911.51,52979.96,53009.5,52909.1,263.24,-0.13,46092.5652
05/20/2022,52979.96,53275.49,53774.61,52951.38,436.56,-0.55,23973.9705
05/19/2022,53275.49,52721.34,53281.31,52717.88,274.41,1.05,108078.747
